mesh,degree,m,n,theta,dt,T,omega,omega_dt,E0,ET,ET_over_E0,decay_rate,energy_csv
"../meshes/mesh-square-64.msh",1,2,2,0.5,0.05,10,8.885765876316732,0.4442882938158366,9.857688472760223,9.857688472759149,0.999999999999891,1.090239010181963e-14,"../results/dissipation/energy/energy_m2_n2_th0p5_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.5,0.025,10,8.885765876316732,0.2221441469079183,9.857688472760223,9.857688472759808,0.9999999999999578,4.218847493575684e-15,"../results/dissipation/energy/energy_m2_n2_th0p5_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.75,0.1,10,8.885765876316732,0.8885765876316732,9.857688472760223,1.292576732026482e-13,1.311237148139001e-14,3.19652202224649,"../results/dissipation/energy/energy_m2_n2_th0p75_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.75,0.05,10,8.885765876316732,0.4442882938158366,9.857688472760223,8.021366064767679e-08,8.137167335864934e-09,1.862682371063261,"../results/dissipation/energy/energy_m2_n2_th0p75_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.75,0.025,10,8.885765876316732,0.2221441469079183,9.857688472760223,0.0005852689166237639,5.937182111618145e-05,0.9731690836138629,"../results/dissipation/energy/energy_m2_n2_th0p75_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,1,0.1,10,8.885765876316732,0.8885765876316732,9.857688472760223,3.893184879154265e-22,3.949389240603731e-23,5.15858961945373,"../results/dissipation/energy/energy_m2_n2_th1_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,1,0.05,10,8.885765876316732,0.4442882938158366,9.857688472760223,2.136067776852844e-15,2.166905337651363e-16,3.606806144989887,"../results/dissipation/energy/energy_m2_n2_th1_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,1,0.025,10,8.885765876316732,0.2221441469079183,9.857688472760223,4.131845729468393e-08,4.191495542678117e-09,1.929020823527047,"../results/dissipation/energy/energy_m2_n2_th1_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.5,0.1,10,17.77153175263346,1.777153175263346,39.28853391923779,39.28853391923453,0.999999999999917,8.304468224196516e-15,"../results/dissipation/energy/energy_m4_n4_th0p5_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.5,0.05,10,17.77153175263346,0.8885765876316732,39.28853391923779,39.28853391923546,0.9999999999999407,5.928590951498512e-15,"../results/dissipation/energy/energy_m4_n4_th0p5_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.5,0.025,10,17.77153175263346,0.4442882938158366,39.28853391923779,39.28853391923623,0.9999999999999603,3.97459842815814e-15,"../results/dissipation/energy/energy_m4_n4_th0p5_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.75,0.1,10,17.77153175263346,1.777153175263346,39.28853391923779,1.530545660827927e-16,3.895654808535598e-18,4.008666989354312,"../results/dissipation/energy/energy_m4_n4_th0p75_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.75,0.05,10,17.77153175263346,0.8885765876316732,39.28853391923779,1.30786882555143e-14,3.32888172472892e-16,3.563872505871173,"../results/dissipation/energy/energy_m4_n4_th0p75_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.75,0.025,10,17.77153175263346,0.4442882938158366,39.28853391923779,1.647054084649045e-13,4.192200421717843e-15,3.310555063851054,"../results/dissipation/energy/energy_m4_n4_th0p75_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,1,0.1,10,17.77153175263346,1.777153175263346,39.28853391923779,2.518477896079537e-20,6.410210931404477e-22,4.879897986886248,"../results/dissipation/energy/energy_m4_n4_th1_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,1,0.05,10,17.77153175263346,0.8885765876316732,39.28853391923779,1.099098378621176e-16,2.797504179923083e-18,4.041780401852625,"../results/dissipation/energy/energy_m4_n4_th1_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,1,0.025,10,17.77153175263346,0.4442882938158366,39.28853391923779,1.249888559609885e-14,3.181306185105248e-16,3.568406962541426,"../results/dissipation/energy/energy_m4_n4_th1_dt0p025_T10.csv"
